Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
MS4A6A,453.1187922,506.5927119,7.783481302,2.04E-13,3.11E-11,-4.286686081
MXD1,453.0018935,1072.87702,2.884063414,0.0042787,0.029650585,-4.549431604
MAT2B,452.9778034,1783.70768,4.758082718,3.36E-06,9.52E-05,-4.467193951
FILIP1L,452.9245732,1062.166524,2.158405146,0.031877938,0.122118982,-4.57196166
ELF3,451.315747,8745.900481,0.736210254,0.462314163,0.664220638,-4.598114836
CAPG,449.6959359,2769.416423,1.5498199,0.122488542,0.294920069,-4.586190615
POU2AF1,447.0425512,316.0969833,4.384747917,1.73E-05,0.000395337,-4.485982301
RAB11A,446.9688529,3826.684266,2.804716754,0.005444129,0.034821771,-4.552175521
CD52,446.343606,434.6229365,4.594799625,6.97E-06,0.000178596,-4.475540305
CD93,442.0038406,1243.601923,2.980312957,0.00317237,0.024102037,-4.546014199
TC2N,441.5119917,1781.102303,2.307984969,0.021842178,0.094263615,-4.567798789
SLC15A3,441.1542365,696.2248651,5.352817706,2.01E-07,7.76E-06,-4.435238191
AKAP13,441.0277452,2538.502376,2.575862165,0.010592188,0.056981434,-4.559711096
NCOR1,440.9004591,2417.23538,2.459320281,0.014619114,0.071228372,-4.563328274
RAB7A,440.6793574,4985.803018,2.858504425,0.004626549,0.031188138,-4.550322749
EVI2B,440.4536881,381.2958489,8.407980555,3.59E-15,1.11E-12,-4.245924849
ITGA5,440.4170744,1934.8492,2.011803935,0.045346585,0.154792744,-4.575790717
TMPRSS3,439.9718179,755.0967462,2.966127436,0.003316965,0.024853643,-4.546523944
FUCA1,438.8606156,1763.397613,2.63070383,0.009066449,0.050851227,-4.557957123
SLK,438.2593876,1781.031113,2.472171494,0.014116637,0.069464233,-4.5629368
JAG1,437.3211048,2466.975897,1.933205491,0.054374805,0.173597465,-4.577739978
SMPD3,436.9162349,776.3969781,3.01139788,0.002875512,0.02240978,-4.544889887
CORO1C,435.1567727,2687.006706,2.451501458,0.014932532,0.07230458,-4.563565549
IFI44,434.4892227,518.1951682,5.936157994,1.00E-08,5.07E-07,-4.401820882
TAX1BP1,434.331445,3443.672845,2.484014564,0.013667217,0.068219093,-4.562574407
CAPRIN1,433.0244143,6111.218561,1.722166873,0.086314086,0.236015755,-4.582610755
PPT1,429.1792288,2591.972253,3.401868988,0.000782657,0.008651615,-4.529932326
NFE2L2,428.139932,2611.274162,3.331438306,0.000998802,0.010382941,-4.532742381
INPP5D,427.952788,630.8554314,6.58411584,2.81E-10,1.93E-08,-4.362758059
GLUD1,427.5669514,2917.368259,2.683920186,0.007777737,0.045613187,-4.556223736
SDC4,425.920475,5738.415305,0.815300162,0.415700376,0.623703367,-4.597322555
IFIH1,425.7675883,672.8685804,7.296222532,4.20E-12,4.51E-10,-4.318044943
BATF2,425.3727194,569.3187142,5.008912527,1.05E-06,3.46E-05,-4.454002678
TSPAN1,425.2705495,6167.062596,0.447983587,0.65456492,0.806375052,-4.60032276
MYCBP2,425.118252,1122.261716,4.947636461,1.41E-06,4.43E-05,-4.45726526
ANXA6,423.0984495,2068.84986,1.994736022,0.047190853,0.158276121,-4.576220189
CRISPLD2,422.7421895,1053.379261,1.68136276,0.093979598,0.248728302,-4.583490864
PARP4,422.424599,2726.768853,2.142860591,0.033119838,0.125260039,-4.572379509
COPB2,420.1715851,3553.36353,2.835945239,0.004954775,0.032600703,-4.551103563
COL11A1,420.0570523,539.5244177,2.489115543,0.013477596,0.067520315,-4.562417838
FOSL2,419.9021783,2141.893637,2.128762077,0.034282018,0.12824842,-4.572756068
PRDX3,419.4383863,3818.991888,2.018059931,0.04468608,0.153242936,-4.575632444
TRIM14,418.6196939,1073.6984,4.959566495,1.33E-06,4.21E-05,-4.456632049
SPOCK2,418.4881896,1033.729628,2.149744858,0.032564785,0.123828835,-4.5721948
CD37,417.6939967,385.9567143,5.632122562,4.91E-08,2.18E-06,-4.419470302
