Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
TGIF2,-100.3138823,773.3069283,-1.679406647,0.094360451,0.249350909,-4.58353255
KEAP1,-100.3427337,1849.892646,-1.239825913,0.21623796,0.422411723,-4.591712297
PKP4,-100.3865941,2503.017002,-0.656789685,0.511938835,0.703334345,-4.598829828
GPSM1,-100.4178472,305.2483461,-2.370050324,0.018568866,0.084473078,-4.565996576
DMPK,-100.4599329,702.6465596,-1.015459487,0.310898711,0.525198474,-4.5949613
TEAD3,-100.5006129,956.5271281,-1.684591455,0.093353688,0.247593513,-4.583421957
AP1S1,-100.5011048,1398.918998,-1.027735411,0.305098117,0.519809763,-4.594799936
NUP214,-100.5157329,1404.074164,-1.850055779,0.065521756,0.196396863,-4.579722553
FAM193A,-100.5671795,887.9966287,-1.901779226,0.058384897,0.182130526,-4.578498938
STC2,-100.5696778,866.837479,-0.644615258,0.519785728,0.709339818,-4.598932276
EXOC3,-100.6172746,1056.877362,-2.276966288,0.02365985,0.09922794,-4.568683099
HTRA2,-100.6860461,654.9768352,-3.468858293,0.000618343,0.007165146,-4.527214976
TAF1C,-100.7808466,958.7621284,-1.42676651,0.154933183,0.341141632,-4.588524614
MAP4K2,-100.8099347,428.9975196,-3.11557732,0.002056866,0.017554858,-4.541049266
MRPL2,-100.9191749,723.4378645,-2.178728682,0.030314979,0.118155326,-4.571411136
C19orf22,-100.9274348,2560.787795,-0.680561771,0.496797955,0.692645275,-4.598624301
CISH,-100.9965335,633.1709987,-1.327620552,0.185551642,0.38309328,-4.590269297
CIZ1,-101.0759104,2003.68177,-1.324794041,0.186486247,0.384293949,-4.590317249
CDK9,-101.077682,1345.347128,-1.473472839,0.141920168,0.323703437,-4.587660632
MIIP,-101.1121819,699.5321792,-1.50640075,0.133265567,0.310788017,-4.587035393
MRPS25,-101.1603296,1237.564673,-1.36020868,0.175026731,0.368450028,-4.589709276
SLC30A9,-101.18156,1525.509985,-1.526791073,0.128115917,0.303680107,-4.586641548
PUSL1,-101.2657964,394.0570915,-3.570926308,0.000428841,0.005349753,-4.52299229
FAM20B,-101.340176,1286.738754,-1.769799305,0.078016959,0.220721346,-4.581557972
MPI,-101.4070766,828.8289035,-2.187630887,0.029651505,0.116235322,-4.571168492
ETNK2,-101.50986,191.0047288,-3.163183375,0.001759669,0.015811913,-4.539257403
XRCC1,-101.5273932,984.0157033,-1.817605383,0.070358254,0.205977984,-4.580473955
SF3B3,-101.5484309,4126.312251,-0.592368529,0.554155652,0.733617071,-4.599350307
PAQR4,-101.620536,1214.132809,-1.204233086,0.229673329,0.438018507,-4.592269898
APLP1,-101.6429798,182.6239879,-2.062166881,0.040257134,0.142595663,-4.57450355
SHMT2,-101.6999588,3453.563873,-0.361121125,0.718323243,0.84853545,-4.600778162
SULT2B1,-101.8432817,306.1905031,-1.988662343,0.047862279,0.159511619,-4.576372192
GBE1,-101.8795187,726.0398965,-1.851554847,0.065305166,0.196071616,-4.579687538
CMBL,-101.892128,1479.733878,-0.508077182,0.611860965,0.778632422,-4.599950672
INO80B,-101.9345092,425.5943188,-2.484055039,0.013665703,0.068219093,-4.562573166
AMACR,-102.0408049,545.8146611,-1.557129122,0.120743656,0.292391826,-4.586046134
ZBTB7C,-102.147154,424.3698007,-1.569045464,0.117940974,0.288180528,-4.585809186
CEP68,-102.2381721,526.0592275,-2.726023531,0.006877817,0.041760553,-4.554830565
HSPH1,-102.2435674,3119.073059,-0.265880131,0.79055739,0.890351831,-4.601165315
RPL39,-102.2496413,790.9629565,-0.898087318,0.370029625,0.582291224,-4.5964077
ZBTB42,-102.3179035,378.7734036,-3.779444382,0.000197896,0.002897797,-4.5140635
WDR5,-102.3452501,1230.203167,-1.89481418,0.059306354,0.183838967,-4.578665562
SNHG8,-102.3803644,711.9528593,-1.333735006,0.183541788,0.380579982,-4.590165226
YAP1,-102.4284396,2656.536446,-0.649820995,0.516422804,0.706476405,-4.598888703
PEMT,-102.4719416,513.209505,-2.530000961,0.012040339,0.062645831,-4.561152466
SNAPC4,-102.5869025,562.7335736,-3.071590018,0.002371998,0.01945134,-4.542684443
C21orf70,-102.6042234,293.8591078,-2.978057575,0.003194966,0.0241949,-4.546095384
TIMM17B,-102.687122,934.8897427,-1.534135111,0.126299757,0.300728617,-4.586498447
SRPK2,-102.6877639,908.6047083,-1.628369658,0.1047447,0.266547182,-4.584603793
TAF7,-102.7134002,2435.337461,-0.808523934,0.419581354,0.627393055,-4.597393567
MACROD1,-102.7673107,360.8827495,-2.828529945,0.005067205,0.033073229,-4.551359041
MAPK15,-102.8124947,272.6125254,-1.595217161,0.11196582,0.278184769,-4.585282696
TRUB2,-102.9776651,861.0122003,-2.514145102,0.01258065,0.064450667,-4.561645393
PIGZ,-102.9855327,203.7719904,-1.897683918,0.058925235,0.183042676,-4.578596979
LMAN2L,-102.9918043,615.3123451,-3.098324556,0.002175553,0.018271733,-4.54169297
CDK5,-103.022133,427.4322112,-3.73433978,0.000234612,0.003302165,-4.516028695
SLC25A13,-103.0540943,761.7700341,-2.494439053,0.0132822,0.066782001,-4.56225413
ANAPC4,-103.0555386,805.7225391,-0.946327599,0.344923323,0.559186089,-4.595834385
SGCB,-103.066712,1358.627902,-1.052878437,0.29344447,0.507313411,-4.594463492
MAP1LC3A,-103.077846,505.2989082,-2.068868705,0.039618097,0.140986196,-4.574330029
NCOA5,-103.1921279,1040.076323,-2.460491724,0.014572663,0.071057413,-4.563292666
LIFR,-103.1967926,358.4283763,-0.964084983,0.335963528,0.551487059,-4.595615905
CROCC,-103.2606744,644.8631508,-1.251991693,0.211778858,0.417248917,-4.591518076
DAXX,-103.3067798,1601.341283,-1.735938119,0.083844681,0.231551438,-4.582309187
DNMT1,-103.3472395,2425.744029,-0.628444073,0.530304399,0.717433736,-4.599065413
NOB1,-103.4072694,1740.186188,-1.238845703,0.216600174,0.422613652,-4.591727866
SLC39A13,-103.4096312,871.2782211,-1.973685714,0.049552491,0.163641487,-4.57674515
NELF,-103.4265074,1665.131838,-0.743030268,0.458182413,0.660786703,-4.598049669
PFAS,-103.4273439,833.7194722,-2.206530354,0.028284481,0.112114766,-4.57065033
POLE4,-103.4987002,634.1387424,-1.893591559,0.05946935,0.184129008,-4.578694751
ZFAND2B,-103.6547286,629.4800399,-2.489904784,0.013448467,0.067415756,-4.562393587
ORAI1,-103.714207,633.0112502,-1.837736257,0.067324385,0.20003616,-4.580009297
ADCK2,-103.8596355,718.9262458,-2.960160678,0.00337957,0.025138153,-4.54673773
LPCAT1,-103.9035366,1986.160672,-0.719528061,0.472508329,0.673276865,-4.598271728
UBFD1,-103.9383937,1513.589937,-1.46704509,0.143659194,0.326038874,-4.587781128
PRR5L,-104.0204941,442.37672,-1.872464781,0.062345481,0.190406784,-4.579196333
MTSS1,-104.038195,463.8493893,-1.762214111,0.079292721,0.223016753,-4.581727449
DGCR6,-104.0849021,386.7174835,-2.371500576,0.018497844,0.084196904,-4.565953944
TESC,-104.099923,775.7504214,-0.691012284,0.49021862,0.687524362,-4.598531653
SMYD5,-104.3452825,693.2843717,-3.69888425,0.000267894,0.003663244,-4.517560491
DNLZ,-104.4141867,211.8201359,-2.736679991,0.006665506,0.040851243,-4.554474916
TBC1D7,-104.507414,430.9576872,-3.227486528,0.001421059,0.013489322,-4.536800802
STT3A,-104.5334221,4141.005384,-0.588155413,0.556975218,0.735705825,-4.599382487
AIDA,-104.555632,1226.141892,-1.555966776,0.12101982,0.292551169,-4.586069154
NAT9,-104.5659407,616.1923189,-2.56647406,0.010875272,0.058088568,-4.560008041
SLC22A18,-104.7714467,841.9292502,-1.106117281,0.269771647,0.483433397,-4.593724756
GSTA4,-104.7726016,324.1239096,-2.848989234,0.004762497,0.031865499,-4.550652744
NDUFS3,-104.7791424,1960.675025,-0.95355404,0.341258753,0.55603179,-4.595745957
CARKD,-104.882458,1075.257445,-2.299328239,0.022336732,0.095744768,-4.568046685
POC1A,-104.9154055,428.115812,-2.953275932,0.003453152,0.025511134,-4.546983945
PL-5283,-104.9917116,1572.258471,-1.248731716,0.212967121,0.418324612,-4.591570301
RIC8A,-105.0010425,1714.297622,-1.914277859,0.056761364,0.178666433,-4.578198491
UBE2R2,-105.0740258,1925.362904,-1.9589731,0.051261685,0.167135535,-4.57710896
WDFY3,-105.1408813,994.3664575,-1.571648116,0.117335727,0.287045311,-4.585757203
MOSC1,-105.1644781,425.6155801,-2.952534441,0.003461163,0.025547203,-4.547010433
REPS2,-105.1660218,492.3360623,-2.018159709,0.044675611,0.153239225,-4.575629916
DHRSX,-105.1816166,506.0567941,-3.119193344,0.00203276,0.01742198,-4.540913967
STK40,-105.2258398,1377.718818,-1.641019806,0.102089361,0.261789381,-4.584341218
MRPL19,-105.247767,1459.08061,-1.621855299,0.106133468,0.268770436,-4.584738251
CTU2,-105.3115363,430.2035974,-3.670821871,0.000297343,0.003992372,-4.518764713
RECQL5,-105.398995,583.1402743,-2.677529272,0.007923252,0.046176121,-4.55643353
RSAD1,-105.4174707,772.4624619,-2.773784496,0.005971724,0.037586867,-4.553227064
MUC20,-105.5106398,980.1144558,-0.630353272,0.529056906,0.716840659,-4.599049869
U2AF2,-105.5391188,3918.327878,-0.776203959,0.4383848,0.644936801,-4.597724196
ASNA1,-105.6758658,1499.049547,-1.378569873,0.169297558,0.360746821,-4.58938794
HDAC4,-105.7577352,486.4473693,-2.385564176,0.017821427,0.081963505,-4.565539292
PRKRIP1,-105.7968741,626.4192105,-2.359835009,0.019075972,0.086013089,-4.566296199
RYBP,-105.8571733,1252.421937,-1.643381409,0.101599669,0.261107792,-4.584291984
PIN1,-105.8944135,798.5510264,-2.124939093,0.034603137,0.129046465,-4.572857779
C1orf85,-105.8983263,1125.653278,-1.325564664,0.186231089,0.384058113,-4.590304185
DHX37,-105.8993591,789.32858,-2.836761183,0.004942543,0.032565335,-4.551075415
METTL13,-105.9806314,1004.652692,-1.948743216,0.052479161,0.169781609,-4.577360417
ADORA1,-106.174778,103.2996227,-3.384133825,0.000832537,0.009055851,-4.530644477
DDX11,-106.1830454,818.8631641,-1.839015838,0.067135262,0.19965709,-4.579979598
PRPF40B,-106.2407211,374.864276,-3.057933923,0.002478531,0.020042178,-4.54318807
DOHH,-106.253065,373.0653925,-4.05900773,6.65E-05,0.001216141,-4.50148006
ARMC5,-106.3202941,442.7040402,-2.679031999,0.007888818,0.046099042,-4.55638424
ZNF408,-106.3544739,407.1406891,-4.876069689,1.96E-06,5.92E-05,-4.461043348
DNAJC7,-106.4066913,2007.959675,-1.183633908,0.23771675,0.447194536,-4.592585362
GNPTG,-106.4894073,1131.71931,-1.511658462,0.131922535,0.309112978,-4.586934327
CASZ1,-106.502334,899.2077295,-1.496647392,0.135785137,0.314284651,-4.587221979
ZNF609,-106.5078203,1149.010353,-1.715283344,0.08757039,0.23813487,-4.582760637
BSPRY,-106.5163168,734.7609184,-1.880876482,0.061186759,0.188099458,-4.578997262
CCM2,-106.5675822,969.8500761,-1.661700404,0.097864749,0.254995039,-4.583907774
CSRP2,-106.725994,395.7979514,-1.932018867,0.054521909,0.173863127,-4.577768848
ALKBH7,-106.7488081,974.2111743,-1.36988477,0.17198965,0.36411761,-4.589540457
PACSIN1,-106.8288661,190.9770105,-2.602277704,0.009830718,0.054024279,-4.558870375
C17orf90,-106.8739687,502.5801497,-2.444916642,0.015201091,0.0729429,-4.563764846
C9orf114,-106.9294339,679.297368,-3.358556974,0.000909717,0.009726878,-4.531666123
ARL16,-107.0706252,549.7859215,-2.797449763,0.005564125,0.035444972,-4.552423481
C10orf57,-107.2457103,821.7410755,-1.807131657,0.071980828,0.209078631,-4.580713792
FBRSL1,-107.2858987,893.6538227,-2.137534815,0.033554807,0.126197485,-4.572522026
FOXJ1,-107.4218316,1301.009393,-0.278371822,0.780964115,0.884661609,-4.601121228
ARL3,-107.4264335,581.3539268,-2.104433848,0.036369984,0.132992773,-4.573400431
IPW,-107.433308,307.3456075,-2.633845761,0.008985339,0.050587457,-4.557855639
TAF11,-107.4448788,707.141916,-3.417099557,0.000742063,0.008275722,-4.529318314
PITPNM3,-107.4905958,345.83019,-2.486408722,0.013577924,0.06789794,-4.562500957
SNRPC,-107.5391458,1687.53937,-1.238250489,0.216820335,0.422841091,-4.591737313
FZD8,-107.6118372,386.085524,-1.872925139,0.062281597,0.190354106,-4.57918546
CCDC104,-107.7838209,1021.71063,-1.316478563,0.189256106,0.387985278,-4.590457745
TACC2,-107.8205228,1299.876846,-1.150692725,0.250991829,0.462313131,-4.593078778
LUC7L,-107.8371031,947.0678212,-1.261597367,0.208305636,0.412779212,-4.591363419
PSMC1,-107.8726721,670.6124101,-1.913002634,0.056925261,0.179044257,-4.57822923
CDCA7L,-107.9985798,718.0939359,-1.93970175,0.053575363,0.172031614,-4.577581632
GRB10,-108.0071095,785.177146,-1.668232201,0.096560033,0.253096109,-4.583769797
CYP2W1,-108.0242562,247.244972,-0.758527621,0.448871616,0.653486715,-4.597899374
PVRL2,-108.0520135,3358.999968,-0.54753737,0.58451308,0.757588717,-4.59968101
ATG4D,-108.1047343,571.3028824,-3.159332034,0.001782148,0.015934906,-4.539403217
MAP2K7,-108.2092187,992.5521885,-2.325861133,0.020851175,0.091527764,-4.567284188
PNPLA6,-108.451456,1410.170714,-1.193735177,0.233747803,0.441968776,-4.592431331
REXO4,-108.4646775,719.7817534,-3.256654256,0.001288335,0.0125505,-4.53567286
TAOK2,-108.5276848,1566.054439,-1.694736264,0.091408904,0.244140877,-4.583204625
RGS2,-108.6942465,849.1787296,-0.386482349,0.699478302,0.837210046,-4.600655279
NPTXR,-108.9962632,275.4368051,-1.820465255,0.069920493,0.205211556,-4.580408239
RNF25,-109.003238,519.6164043,-2.83641639,0.004947708,0.032573078,-4.55108731
USP21,-109.0825721,571.6675955,-3.164214177,0.001753697,0.015792949,-4.53921835
FLJ90757,-109.0911146,418.0746387,-3.830654079,0.000162809,0.002498286,-4.511810069
SSH3,-109.3281001,1159.045081,-1.61550759,0.107500802,0.270708985,-4.584868773
ABI2,-109.394184,1011.024992,-1.610875786,0.10850735,0.272176911,-4.584963703
UBE2C,-109.4562856,1348.925484,-0.855405788,0.393170732,0.603941908,-4.596890269
DHX40,-109.4742976,1246.784927,-1.625441873,0.105367055,0.267533996,-4.584664287
FAM158A,-109.4827044,300.7706264,-3.874670851,0.00013744,0.002175268,-4.509854435
GALK1,-109.4880374,487.1737548,-2.63583991,0.008934197,0.05039469,-4.557791173
MCM5,-109.6162399,1893.931312,-0.870154642,0.385076238,0.59695592,-4.596726137
TFAP2A,-109.6584879,674.1971462,-1.19327091,0.233929178,0.442145014,-4.592438439
ANO9,-109.6781791,785.2092838,-1.462612948,0.144867856,0.327345182,-4.587863917
CFDP1,-109.7068626,972.2664249,-1.913736605,0.05683088,0.178781845,-4.578211541
COQ4,-109.7130948,1202.542049,-1.334352232,0.183339808,0.380425626,-4.590154695
C17orf89,-109.7375867,380.3168034,-2.948632902,0.0035036,0.025755638,-4.547149712
IGFBP6,-109.7494946,272.1473313,-1.082042745,0.280308117,0.494010489,-4.594063238
CBFA2T2,-109.7533378,808.7750429,-2.439233788,0.015436294,0.073865291,-4.563936455
KLC1,-109.938756,1309.667438,-1.776651056,0.076879057,0.218510399,-4.581404289
EPB41L4B,-109.9575662,915.8877532,-0.85756602,0.391978708,0.602961783,-4.596866402
SLC27A1,-110.0006636,610.4554738,-1.818219446,0.070264069,0.205776046,-4.580459852
C12orf10,-110.1275194,1013.372519,-1.712971728,0.087995595,0.238655162,-4.582810841
PTP4A3,-110.2627975,714.5894604,-1.163623778,0.245719918,0.45649682,-4.592886712
BRD3,-110.3941413,1135.046829,-1.826372771,0.069023348,0.203382819,-4.580272182
FUK,-110.4154331,605.2313353,-3.12636844,0.001985699,0.017119208,-4.540645108
XYLT2,-110.4651819,863.3216208,-1.931021261,0.054645839,0.174088316,-4.577793107
ZDHHC16,-110.6476781,802.4244068,-3.058197106,0.002476437,0.020042178,-4.543178382
STON2,-110.6524083,282.2410322,-2.953933263,0.003446064,0.025470294,-4.546960458
TCEA1,-110.6818623,1652.186,-1.31267336,0.190533736,0.389488457,-4.59052175
SAP30BP,-110.6917457,1146.490274,-2.012137888,0.045311118,0.154792744,-4.57578228
DDRGK1,-110.6971875,1254.056079,-1.260319023,0.208765448,0.413203233,-4.591384068
PUM1,-110.7115502,2431.527321,-1.163760523,0.245664588,0.456465885,-4.592884669
TBL1X,-110.7527835,837.3974274,-1.287263124,0.199229608,0.400643159,-4.590944542
TMEM139,-110.753425,585.6853122,-1.939247076,0.053630993,0.172131556,-4.577592731
SMOC2,-110.7612831,1014.884097,-0.409009914,0.682893303,0.826508448,-4.600539152
SLC48A1,-110.7760631,722.4563752,-2.047274392,0.041708723,0.146352529,-4.574887261
KANK1,-110.8299014,905.8253553,-1.14693546,0.252538428,0.464062454,-4.593134192
YDJC,-110.8595918,755.0828467,-1.941084904,0.053406431,0.171681458,-4.577547854
CNTROB,-110.9319927,823.2391374,-2.854324748,0.004685825,0.031522644,-4.550467822
SEC11A,-110.9563148,2799.722153,-0.857084051,0.392244469,0.603184604,-4.596871732
LOC100132288,-110.9722755,255.902881,-2.47660807,0.013946763,0.069089884,-4.562801226
EDC3,-110.9951193,772.4040901,-3.457358305,0.000644035,0.007389435,-4.52768453
STK36,-111.0404719,764.1409079,-1.359058691,0.175390345,0.369020381,-4.589729262
ZNF579,-111.051589,305.5315383,-3.132336545,0.001947323,0.016866095,-4.540421078
ADCK5,-111.0563403,388.5511102,-3.426036077,0.000719169,0.008058938,-4.528956999
MCAT,-111.0696283,527.7851128,-3.302908971,0.001101247,0.011181627,-4.533866838
C16orf59,-111.1224587,267.0374268,-4.196030373,3.81E-05,0.000762034,-4.495067196
COPS7B,-111.2337729,922.348818,-2.434558833,0.015632193,0.07454054,-4.564077356
FIZ1,-111.2918706,463.0540109,-3.410647661,0.000759013,0.008424472,-4.529578692
GNG4,-111.3185762,155.7201333,-1.116338859,0.265381804,0.479248835,-4.593578836
COX16,-111.3584322,1132.98009,-1.714806697,0.087657929,0.238196246,-4.582770994
KIAA0232,-111.580692,1069.201575,-2.146816133,0.032799929,0.124395923,-4.572273446
UROS,-111.7782472,731.2658325,-1.992902736,0.047392672,0.158659043,-4.576266116
MAPK8IP3,-111.8306528,1201.085488,-0.969893997,0.333065504,0.548475096,-4.595543564
SEMA5A,-111.9719634,543.6250344,-1.391440253,0.165366819,0.355770727,-4.58916021
MRPS18A,-111.9895026,952.679882,-1.997935277,0.046840403,0.157748196,-4.576139949
HAUS7,-111.9953521,466.3850503,-2.287617006,0.023021364,0.097515035,-4.568380693
SKIV2L,-112.0594646,1013.782638,-2.062865662,0.040190095,0.142431882,-4.574485482
NPAS3,-112.0707323,413.4465887,-0.870287075,0.385004024,0.59695592,-4.596724651
TBC1D16,-112.1097596,445.5696748,-3.168477553,0.001729196,0.015632664,-4.539056717
CPT2,-112.2473138,996.1932606,-1.850295257,0.065487116,0.196365131,-4.579716961
ZBTB4,-112.6899164,1682.05905,-0.984786629,0.325710213,0.541369301,-4.59535615
ZNF668,-112.7985921,428.8412736,-3.703545197,0.000263278,0.003621348,-4.517359779
AUTS2,-112.8110789,700.9596097,-1.597011098,0.111565215,0.277756216,-4.585246302
AKAP8L,-112.8750661,892.5814303,-1.694220354,0.091507008,0.244357963,-4.583215708
ATXN10,-112.9454459,1828.528376,-1.548935789,0.122700938,0.295216359,-4.586208046
DDX24,-113.0484174,2650.255829,-1.275364194,0.203400544,0.40622883,-4.591139759
RPRD2,-113.0809017,1518.61533,-1.321799879,0.1874801,0.38590363,-4.590367937
TMEM125,-113.085217,665.1017016,-2.136348264,0.033652382,0.126453957,-4.572553734
TSNARE1,-113.114072,293.5910056,-3.021796645,0.002782048,0.021861084,-4.544511542
ARRDC1,-113.119607,1854.924031,-0.953376882,0.34134829,0.5560562,-4.595748132
ZNF48,-113.2641761,337.6655613,-4.828782521,2.43E-06,7.21E-05,-4.463520202
FN3K,-113.264778,604.6162221,-2.879591853,0.00433778,0.029928114,-4.549588008
C2orf18,-113.4778002,1472.403924,-1.426209544,0.155093686,0.341360827,-4.588534755
SOLH,-113.6792562,1799.734497,-1.020866523,0.308334827,0.522814697,-4.594890461
CES3,-113.7185713,762.0506803,-0.960773472,0.337622875,0.552784665,-4.595656952
BRD4,-113.7534802,1943.944134,-1.201232777,0.230832593,0.439459392,-4.592316177
PCDHGC3,-113.7765623,1304.21444,-0.730307156,0.465907247,0.667083169,-4.59817076
AACS,-113.7982927,903.4297271,-1.958360688,0.051333894,0.16725773,-4.577124048
CABLES1,-113.8138622,643.5922287,-1.930484505,0.054712617,0.1741436,-4.577806154
MAD1L1,-113.8308957,564.4369418,-2.400159373,0.017142594,0.079830899,-4.565106611
CELF1,-113.9948977,1734.978128,-1.358669903,0.175513403,0.369184145,-4.589736016
TNKS,-114.0364002,1234.273694,-1.414424442,0.158519709,0.346379989,-4.588748427
RBM34,-114.0376397,946.4601952,-1.89402248,0.059411859,0.184064025,-4.578684465
C17orf79,-114.1522732,808.660393,-2.037645981,0.042670756,0.148680642,-4.57513396
UFC1,-114.1839632,2493.703958,-0.689872045,0.490934182,0.687906143,-4.59854183
AS3MT,-114.2126534,192.9635872,-3.231698532,0.00140114,0.013354585,-4.536638444
NDUFAF3,-114.2933652,1322.620226,-1.110252003,0.267989915,0.481508897,-4.593665889
CDC42EP2,-114.3721124,469.1292496,-1.930835424,0.054668952,0.174094007,-4.577797624
ZGPAT,-114.4202359,749.9715371,-2.005250753,0.046047328,0.156042907,-4.575956017
UNC119B,-114.4353394,859.3800358,-1.836267973,0.067541942,0.200537787,-4.580043351
DNASE2,-114.5887871,1918.713101,-1.131632345,0.258906617,0.471676895,-4.593358055
TMEM106C,-114.6303951,2205.819096,-0.622457589,0.53422576,0.720211448,-4.599113847
AIFM1,-114.6715597,1832.139385,-0.864615112,0.388104361,0.599770933,-4.596788108
HEY2,-114.8804989,264.3765883,-1.65912489,0.098383085,0.255958767,-4.583962037
SMPD1,-114.9958499,649.6944462,-2.079407755,0.038630698,0.138559624,-4.574056097
ZNF362,-115.0195168,642.0378767,-2.416821737,0.016395606,0.077367359,-4.56460972
ARHGEF16,-115.1330174,1095.092348,-1.523479293,0.128941566,0.304840566,-4.586705863
ANAPC2,-115.179381,807.3386794,-2.836425037,0.004947579,0.032573078,-4.551087012
COX7A2L,-115.2232075,1929.99233,-1.303110176,0.193772847,0.393694534,-4.590681812
TRIM8,-115.2473376,2031.744048,-1.073842675,0.283960348,0.497395194,-4.594176861
SPSB3,-115.3518777,895.6989164,-1.962766966,0.05081626,0.166364891,-4.57701539
PLCD3,-115.5115367,1537.698814,-0.542335525,0.588085316,0.760270143,-4.599717707
RRBP1,-115.5564886,8677.587461,-0.222530913,0.824087884,0.907993872,-4.601302624
DNAL4,-115.5721383,533.3821865,-2.31243855,0.021591503,0.093726009,-4.567670923
SEC14L1,-115.6748982,2027.140254,-0.527202246,0.598535019,0.768261105,-4.599822482
TAF10,-115.8643654,1057.475836,-1.378760754,0.16923875,0.360730722,-4.589384578
AXIN2,-115.8784081,789.971236,-0.824017946,0.410738902,0.6195043,-4.597230334
PEF1,-115.902896,1543.984959,-2.112025447,0.035707031,0.131362932,-4.573200096
SIRT3,-116.0198986,703.5381518,-2.701364432,0.007392732,0.043891322,-4.555648843
FGD1,-116.0685824,340.6619736,-3.116986888,0.002047438,0.017520186,-4.540996541
TMEM97,-116.2612886,1384.168093,-1.127992186,0.260437763,0.47340986,-4.593410872
ESRP1,-116.4108737,2485.592565,-0.65161417,0.51526704,0.705828087,-4.598873613
KIAA1797,-116.5623715,916.1736836,-2.33590509,0.020311852,0.089702895,-4.566993462
C20orf11,-116.6122011,1729.095226,-1.954681592,0.051769497,0.168091887,-4.577214598
PERP,-116.6282076,8278.079294,-0.180493348,0.856915992,0.92654751,-4.601412517
PCGF3,-116.6680581,1485.188552,-1.515534938,0.130939103,0.307736108,-4.586859594
URB1,-116.7668952,1075.279673,-1.600697393,0.1107456,0.276178923,-4.585171394
CCDC107,-116.8856781,613.183025,-1.911741513,0.057087735,0.179417025,-4.578259611
PLAGL2,-116.8937476,929.1268614,-1.617240528,0.107126131,0.270123297,-4.584833189
PEX16,-116.9730788,606.3114251,-3.154602662,0.001810116,0.01609682,-4.53958207
TM4SF20,-117.0238814,279.4753756,-0.70516107,0.481386625,0.680366986,-4.598403988
TBX18,-117.0287603,187.1663003,-2.45616539,0.014744869,0.071712682,-4.563424096
GALNT12,-117.0787932,940.9434695,-1.155036304,0.24921219,0.460740097,-4.593014497
ATXN7L3,-117.139033,1591.148849,-1.812644713,0.071122951,0.207583915,-4.580587712
PTPN3,-117.1895954,1035.408665,-1.665619577,0.097080211,0.253950035,-4.583825048
HDDC2,-117.2291943,1049.006029,-1.844800832,0.066285718,0.197959927,-4.579845086
PRSS50,-117.3925155,32.94939058,-2.431301702,0.015769977,0.07504413,-4.564175381
NCKAP5L,-117.4141297,648.7623281,-1.817439378,0.070383734,0.206001987,-4.580477766
CCDC85C,-117.4318481,989.935845,-1.848765813,0.065708611,0.196596022,-4.579752663
C2orf88,-117.5135924,1167.012727,-0.499008659,0.618225562,0.782705393,-4.600009808
ZNF777,-117.6423393,598.4761203,-4.076739601,6.19E-05,0.001145396,-4.500659078
EIF3K,-117.7132539,3810.009471,-0.485192281,0.627977895,0.789420627,-4.600097865
TTC39A,-117.8707164,585.2643925,-1.477614553,0.140808277,0.322301519,-4.587582721
GDE1,-117.8986047,2276.719328,-1.051351781,0.29414338,0.508360216,-4.594484148
TTC9,-117.9345667,522.5943102,-1.672595779,0.095696243,0.251842772,-4.583677333
LIMCH1,-117.9400972,480.3064855,-1.933425075,0.05434762,0.173578557,-4.577734634
C19orf61,-117.9470646,896.2811541,-2.399470997,0.01717409,0.079909198,-4.565127072
C8orf73,-117.9523416,507.8791889,-1.386109683,0.16698636,0.357981395,-4.589254778
TNXB,-117.9720926,796.5525467,-0.404270266,0.686370232,0.829241289,-4.600564129
MMAB,-117.9820953,593.001105,-2.700213343,0.007417597,0.044006943,-4.55568688
HS1BP3,-117.9861639,770.8522843,-2.972901558,0.003247178,0.024488072,-4.546280783
IQCE,-118.0084369,972.5709229,-1.931875327,0.054539726,0.173885981,-4.57777234
CA8,-118.2182181,440.5491769,-1.728443845,0.085181289,0.233940136,-4.582473583
CPAMD8,-118.222505,237.5482056,-1.857636524,0.064432551,0.194452914,-4.579545208
HMGCL,-118.2528284,1070.762875,-2.152569576,0.032339368,0.123308002,-4.572118852
AKT2,-118.2807525,2177.009842,-1.119413918,0.264070906,0.477885799,-4.59353468
SVIL,-118.2987317,1633.459686,-0.367761878,0.713371512,0.844693822,-4.60074679
FAM160B2,-118.3103204,1183.897295,-1.823167819,0.06950888,0.204370877,-4.580346047
BIN1,-118.32804,1089.43329,-1.310516655,0.1912607,0.390537348,-4.590557947
PICK1,-118.3705365,622.3290354,-3.750889893,0.00022045,0.003146229,-4.515309753
FAH,-118.4767576,368.2379257,-4.260824169,2.92E-05,0.000605059,-4.491980502
GMEB2,-118.4799329,607.3917897,-3.548083142,0.000465779,0.005683692,-4.523945908
CHST14,-118.508539,520.7091741,-2.931034343,0.003701,0.026891958,-4.547775978
ARHGAP39,-118.6201139,507.9556247,-2.594456577,0.010050893,0.054755063,-4.559120094
C16orf48,-118.7085163,497.1015985,-1.787075416,0.075173976,0.215138564,-4.581169392
TMEM8B,-118.7426055,395.1912885,-4.264401649,2.87E-05,0.000599925,-4.491809076
AMIGO2,-118.7589764,613.366016,-1.171026746,0.242737181,0.453089054,-4.592775809
GTF3C2,-118.7727542,1514.144003,-2.390833905,0.017573642,0.081166862,-4.565383345
